Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
1286	 1.20513	 1.21732	 4.40882	 7.46022	 2.32682	 2.38222	 4.97924	 0.09538	 0.12970	 0.73549	27.00125	-1348.305517	-1401818.117177	-53512.599781
1287	 1.22578	 1.25834	 4.15400	 7.72067	 2.21654	 2.38222	 4.97924	 0.09538	 0.12970	 0.73549	27.44091	-1348.132032	-1401700.471266	-53568.439662
1288	 1.18163	 1.22835	 4.04088	 7.88527	 2.36827	 2.38222	 4.97924	 0.10124	 0.12970	 0.73549	27.83481	-1348.067361	-1401686.709355	-53619.348358
1289	 1.18602	 1.19301	 4.26737	 7.91456	 2.28738	 2.39107	 4.99774	 0.10162	 0.13018	 0.73822	28.52074	-1348.025284	-1401689.327808	-53664.043549
1290	 1.13966	 1.19746	 4.54127	 7.94405	 2.23323	 2.39998	 5.28696	 0.10200	 0.13066	 0.74098	27.75184	-1348.314765	-1401762.359771	-53447.594298
1291	 1.18716	 1.20192	 4.33810	 8.18182	 2.11576	 2.47684	 5.15596	 0.10238	 0.13115	 0.74374	27.06053	-1348.249969	-1401716.539109	-53466.570443
1292	 1.15868	 1.23609	 4.60430	 8.67723	 2.12474	 2.48735	 4.99644	 0.10281	 0.13171	 0.74689	27.30994	-1348.226813	-1401710.103513	-53483.290555
1293	 1.20313	 1.18176	 4.47004	 8.99748	 2.05405	 2.43428	 4.99644	 0.09736	 0.13171	 0.74689	26.66874	-1348.218518	-1401655.872248	-53437.354729
1294	 1.24776	 1.14410	 4.38304	 8.70606	 2.10309	 2.43428	 4.99644	 0.09736	 0.13171	 0.74689	26.00690	-1347.994565	-1401647.425319	-53652.860644
1295	 1.25139	 1.18905	 4.22465	 8.73141	 1.99918	 2.44137	 5.08795	 0.09764	 0.13209	 0.75369	25.40406	-1348.190432	-1401684.140854	-53493.709193
1296	 1.26844	 1.26727	 4.06108	 9.13074	 1.94979	 2.48260	 5.29310	 0.09795	 0.13251	 0.75610	25.03357	-1348.408523	-1401728.107357	-53319.584171
1297	 1.22376	 1.19607	 4.19293	 8.89436	 2.03866	 2.47956	 5.28661	 0.09783	 0.13235	 0.75518	24.65207	-1348.554189	-1401727.180600	-53172.991133
1298	 1.28559	 1.20131	 4.07646	 8.93329	 1.95546	 2.49041	 5.20101	 0.09826	 0.13293	 0.75848	24.97847	-1348.342848	-1401701.968379	-53359.120040
1299	 1.21935	 1.13675	 4.21970	 8.89818	 2.01994	 2.56528	 5.18057	 0.09787	 0.13241	 0.75550	24.29256	-1348.334142	-1401722.217022	-53388.075460
1300	 1.23267	 1.19114	 4.11374	 8.47067	 2.01756	 2.60337	 5.17449	 0.09776	 0.13225	 0.75461	24.32113	-1348.338623	-1401756.968016	-53418.345376
1301	 1.19334	 1.24892	 4.09997	 8.79385	 2.09595	 2.51968	 5.15717	 0.09071	 0.13181	 0.75209	24.10504	-1348.295966	-1401735.233507	-53439.267150
1302	 1.16161	 1.24641	 3.92975	 8.45907	 2.11577	 2.51461	 5.14679	 0.09053	 0.13154	 0.75057	23.59266	-1348.356317	-1401680.447308	-53324.130490
1303	 1.15896	 1.29872	 4.12036	 8.04635	 2.25237	 2.50887	 5.13504	 0.09032	 0.13124	 0.74886	23.14129	-1348.212202	-1401683.493253	-53471.291572
1304	 1.12003	 1.23224	 4.13547	 8.45157	 2.17556	 2.51807	 5.15387	 0.09065	 0.13172	 0.75160	23.26880	-1348.203835	-1401656.246990	-53452.412425
1305	 1.08061	 1.18114	 4.03906	 8.12413	 2.25691	 2.52755	 5.17327	 0.09099	 0.13222	 0.75443	23.46236	-1348.358162	-1401685.904984	-53327.742703
1306	 1.07709	 1.17729	 4.02589	 7.97367	 2.31376	 2.51931	 5.15640	 0.08717	 0.13179	 0.75197	23.27285	-1348.307380	-1401717.595748	-53410.216090
1307	 1.12168	 1.17981	 4.21935	 7.99073	 2.31871	 2.45025	 4.99904	 0.08736	 0.13207	 0.75358	23.67032	-1348.344236	-1401707.184238	-53362.948475
1308	 1.08708	 1.13881	 4.03782	 7.70819	 2.40276	 2.44472	 4.98776	 0.08564	 0.13177	 0.72730	23.92473	-1348.020019	-1401715.403079	-53695.384186
1309	 1.12718	 1.13443	 4.26668	 7.97395	 2.49827	 2.33576	 4.96856	 0.08531	 0.13127	 0.72450	24.30861	-1348.160565	-1401715.788745	-53555.223255
1310	 1.12304	 1.07939	 4.45101	 7.77365	 2.45048	 2.32719	 4.95033	 0.08500	 0.13078	 0.72184	24.30976	-1348.040696	-1401672.291992	-53631.596380
1311	 1.17444	 1.12096	 4.70580	 7.77704	 2.54021	 2.32820	 4.95248	 0.08503	 0.13084	 0.72216	23.79537	-1347.836906	-1401684.728684	-53847.822208
