Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 0.98112	 1.01674	 1.00279	 1.02084	 1.03452	 0.98957	 0.97526	 0.05054	 0.10072	 0.47936	 0.00000	-1345.147509	-1407191.036509	-62043.527881
1	 1.03085	 1.01674	 1.00279	 1.04246	 1.06232	 0.98957	 0.99730	 0.05054	 0.10607	 0.47936	19.95901	-1343.515399	-1405370.041241	-61854.642396
2	 1.07277	 0.97516	 0.97322	 1.08670	 1.08841	 0.99102	 0.99876	 0.05062	 0.10623	 0.50300	19.78513	-1343.041896	-1404301.985444	-61260.089711
3	 1.11847	 1.01020	 1.02691	 1.08670	 1.12981	 0.99102	 1.03136	 0.05083	 0.10623	 0.52432	19.68096	-1342.439934	-1403587.899880	-61147.966304
4	 1.12188	 1.01328	 1.06100	 1.09001	 1.16221	 1.03379	 1.03451	 0.05099	 0.10655	 0.52592	19.43391	-1341.877149	-1403305.183686	-61428.034881
5	 1.08985	 1.00104	 1.03886	 1.09349	 1.12669	 1.07036	 1.08997	 0.05115	 0.10689	 0.52760	19.60576	-1341.943926	-1403136.421846	-61192.495613
6	 1.12386	 1.07063	 1.10592	 1.09349	 1.08930	 1.10953	 1.08997	 0.05115	 0.10689	 0.52760	20.10003	-1341.951743	-1403002.798592	-61051.055159
7	 1.15815	 1.03242	 1.14671	 1.09349	 1.05298	 1.10953	 1.08997	 0.05905	 0.10689	 0.52760	19.47540	-1341.917285	-1402826.833427	-60909.548913
8	 1.10451	 1.05799	 1.22463	 1.13866	 1.05585	 1.11256	 1.13740	 0.05921	 0.10718	 0.55545	19.71027	-1342.174317	-1402701.441530	-60527.124691
9	 1.07068	 1.08720	 1.25643	 1.13866	 1.11325	 1.15868	 1.13740	 0.05921	 0.10718	 0.55545	20.22892	-1342.055648	-1402685.345602	-60629.697451
10	 1.03939	 1.04933	 1.29866	 1.14251	 1.13601	 1.16260	 1.17254	 0.05941	 0.10754	 0.55733	19.95307	-1342.055385	-1402627.036712	-60571.651970
11	 1.08211	 1.08913	 1.37442	 1.18704	 1.12504	 1.20694	 1.17746	 0.05966	 0.10800	 0.55967	20.21575	-1342.243116	-1402627.765379	-60384.649688
12	 1.08211	 1.05937	 1.37442	 1.22512	 1.18224	 1.25507	 1.19122	 0.05966	 0.10800	 0.55967	19.81841	-1342.298222	-1402614.635985	-60316.414104
13	 1.12520	 1.06142	 1.45903	 1.27310	 1.22105	 1.28144	 1.23791	 0.05977	 0.10820	 0.58076	19.49763	-1342.761646	-1402556.683513	-59795.037668
14	 1.07998	 1.08126	 1.41470	 1.27310	 1.22105	 1.28144	 1.23791	 0.05977	 0.10820	 0.58076	19.37009	-1342.599428	-1402494.994470	-59895.566026
15	 1.12961	 1.08343	 1.48968	 1.29697	 1.22350	 1.28401	 1.24039	 0.05989	 0.10842	 0.58192	18.87217	-1342.582182	-1402420.310361	-59838.128546
16	 1.17058	 1.05028	 1.58612	 1.29927	 1.26467	 1.28054	 1.24259	 0.06000	 0.10861	 0.58296	19.26489	-1342.598539	-1402448.933758	-59850.394555
17	 1.14311	 0.99456	 1.67014	 1.35991	 1.26672	 1.35275	 1.28510	 0.06010	 0.10879	 0.62430	18.75134	-1343.135837	-1402404.377453	-59268.540707
18	 1.08001	 0.99456	 1.63809	 1.40514	 1.26672	 1.35275	 1.33311	 0.06010	 0.10879	 0.62430	18.41571	-1342.794414	-1402418.208191	-59623.794456
19	 1.04059	 1.02302	 1.63459	 1.40214	 1.26401	 1.34986	 1.36006	 0.05997	 0.10856	 0.62297	18.04917	-1342.850531	-1402389.031109	-59538.499789
20	 1.10379	 1.02504	 1.68090	 1.50430	 1.24151	 1.35252	 1.36274	 0.06009	 0.10877	 0.62420	17.71887	-1342.903833	-1402376.951513	-59473.118718
21	 1.14668	 1.06701	 1.59166	 1.50430	 1.24151	 1.40418	 1.39839	 0.06009	 0.10877	 0.64739	17.34419	-1343.267808	-1402312.778936	-59044.971038
22	 1.14668	 1.08930	 1.54611	 1.50430	 1.26857	 1.40418	 1.39839	 0.06009	 0.10877	 0.64739	17.59373	-1343.223817	-1402343.937275	-59120.120701
23	 1.09367	 1.08581	 1.54115	 1.57725	 1.34282	 1.39967	 1.42961	 0.05989	 0.10842	 0.64531	17.46973	-1343.177058	-1402367.083719	-59190.025614
24	 1.13144	 1.03770	 1.59578	 1.64770	 1.34779	 1.40485	 1.48192	 0.06012	 0.10882	 0.67779	17.08572	-1343.528653	-1402336.017580	-58807.364972
25	 1.18197	 1.00063	 1.53150	 1.72400	 1.34916	 1.43613	 1.48343	 0.06018	 0.10893	 0.67848	16.84459	-1343.454910	-1402337.602199	-58882.692601
26	 1.23605	 1.04034	 1.58435	 1.79131	 1.34916	 1.43613	 1.55565	 0.06484	 0.10893	 0.69694	17.05081	-1343.502965	-1402277.183395	-58774.218374
27	 1.26220	 1.00065	 1.52926	 1.83079	 1.40723	 1.49309	 1.55565	 0.06484	 0.11531	 0.69694	16.84417	-1343.458775	-1402270.381985	-58811.607465
28	 1.26603	 0.96647	 1.55725	 1.83634	 1.36491	 1.49651	 1.62717	 0.06504	 0.11566	 0.73428	16.96046	-1343.825495	-1402205.356205	-58379.860924
29	 1.26861	 0.96843	 1.59287	 1.89482	 1.31475	 1.52877	 1.63047	 0.06517	 0.11590	 0.73578	17.31496	-1343.661214	-1402190.741200	-58529.526901
30	 1.31113	 0.97251	 1.59958	 1.90281	 1.34233	 1.53521	 1.69833	 0.06544	 0.11638	 0.73888	17.63782	-1343.838940	-1402282.347878	-58443.407482
31	 1.37127	 1.01107	 1.56264	 1.93342	 1.34233	 1.53521	 1.69833	 0.06544	 0.11638	 0.73888	17.78834	-1343.678576	-1402206.026902	-58527.450421
32	 1.30956	 1.05311	 1.62729	 1.93732	 1.39828	 1.58520	 1.78834	 0.06557	 0.11662	 0.74921	18.04795	-1343.964064	-1402179.443847	-58215.380230
33	 1.31335	 1.05616	 1.73253	 1.94293	 1.40232	 1.62166	 1.85426	 0.06576	 0.11696	 0.75138	18.32696	-1344.068043	-1402136.669937	-58068.626807
34	 1.26218	 1.05940	 1.77965	 1.94889	 1.46545	 1.62664	 1.85995	 0.06597	 0.11732	 0.75368	17.84654	-1344.316225	-1402118.504993	-57802.280487
35	 1.22145	 1.14166	 1.71272	 1.94889	 1.46545	 1.67572	 1.91416	 0.07205	 0.11732	 0.77261	18.11313	-1344.404900	-1402092.081544	-57687.181637
36	 1.25693	 1.19774	 1.71272	 1.98877	 1.41025	 1.67572	 1.99317	 0.07205	 0.11732	 0.77261	18.11313	-1344.335900	-1402162.700036	-57826.799718
37	 1.25396	 1.25526	 1.65953	 2.04358	 1.50761	 1.68277	 1.99317	 0.07205	 0.12723	 0.78852	17.71367	-1344.585647	-1402100.079723	-57514.432646
38	 1.25548	 1.20847	 1.66153	 2.15120	 1.50943	 1.68481	 1.99558	 0.07213	 0.12739	 0.76796	17.50586	-1344.451292	-1402120.211895	-57668.920208
39	 1.20965	 1.15649	 1.63774	 2.15631	 1.51301	 1.68881	 2.00032	 0.07525	 0.12769	 0.76765	17.80943	-1344.467100	-1402114.168705	-57647.068688
40	 1.18995	 1.17555	 1.64354	 2.22520	 1.51837	 1.72586	 2.00740	 0.07552	 0.12814	 0.77037	18.02746	-1344.461030	-1402119.871884	-57658.841832
41	 1.23350	 1.23373	 1.74597	 2.22520	 1.51837	 1.72586	 2.00740	 0.07552	 0.12814	 0.80126	18.46273	-1344.820807	-1402085.479935	-57264.672715
42	 1.27978	 1.26163	 1.74597	 2.22520	 1.55492	 1.72586	 2.00740	 0.07552	 0.12814	 0.80126	17.90254	-1344.616522	-1402081.449597	-57464.927824
43	 1.34407	 1.29782	 1.66215	 2.22037	 1.62428	 1.72212	 2.00304	 0.08035	 0.12786	 0.79953	17.58541	-1344.673478	-1402106.301215	-57432.823352
44	 1.28356	 1.23840	 1.74782	 2.22037	 1.54994	 1.72212	 2.00304	 0.08035	 0.12786	 0.79953	17.80554	-1344.653118	-1402115.544703	-57462.426417
45	 1.25317	 1.31334	 1.72462	 2.33384	 1.52204	 1.79137	 2.06685	 0.08063	 0.12831	 0.80229	17.49375	-1344.703929	-1402111.617191	-57407.687767
46	 1.30245	 1.37111	 1.81481	 2.41027	 1.52204	 1.85881	 2.06685	 0.08063	 0.12831	 0.80229	17.21853	-1344.823238	-1402095.525465	-57272.287896
47	 1.30245	 1.32104	 1.90307	 2.52208	 1.55453	 1.85881	 2.12289	 0.08063	 0.12831	 0.82136	17.47356	-1345.120668	-1402058.276975	-56937.609108
48	 1.25445	 1.32688	 1.95972	 2.53323	 1.56141	 1.91881	 2.19677	 0.08098	 0.12887	 0.83267	17.07413	-1345.188536	-1402016.341574	-56827.805122
49	 1.29008	 1.28049	 1.94064	 2.60796	 1.64545	 1.97234	 2.19677	 0.08298	 0.12887	 0.85672	16.63673	-1345.329194	-1402000.050356	-56670.856462
50	 1.32512	 1.33483	 1.99453	 2.61746	 1.72157	 1.97953	 2.30405	 0.08328	 0.12934	 0.85985	16.59430	-1345.348118	-1401971.356744	-56623.239020
51	 1.40738	 1.33827	 1.99967	 2.62421	 1.72601	 1.98463	 2.30999	 0.08349	 0.12968	 0.84120	16.88458	-1345.264549	-1401953.195759	-56688.647020
52	 1.41029	 1.39663	 2.07385	 2.62964	 1.81857	 2.08946	 2.43112	 0.08367	 0.12994	 0.87008	16.46816	-1345.533501	-1401913.308955	-56379.808122
53	 1.44551	 1.44874	 2.01002	 2.72939	 1.81366	 2.16037	 2.42455	 0.08344	 0.12959	 0.86773	16.78534	-1345.643695	-1401992.619262	-56348.924545
54	 1.45114	 1.48114	 2.12487	 2.74002	 1.92377	 2.16879	 2.60516	 0.07919	 0.13010	 0.89712	16.94764	-1346.054542	-1401943.971520	-55889.429406
55	 1.50776	 1.48389	 2.19875	 2.81364	 1.99592	 2.17282	 2.61000	 0.07933	 0.13034	 0.91970	16.68169	-1346.114462	-1401943.634353	-55829.172391
56	 1.49602	 1.48536	 2.07718	 2.81642	 2.08208	 2.17497	 2.61258	 0.07941	 0.13047	 0.89934	16.46406	-1345.988515	-1401924.656361	-55936.141783
57	 1.45524	 1.54350	 2.18413	 2.89772	 2.08943	 2.18264	 2.62180	 0.07969	 0.13093	 0.89256	16.67172	-1346.132326	-1401943.138633	-55810.813060
58	 1.39663	 1.61037	 2.13699	 2.90658	 2.19344	 2.21603	 2.62982	 0.07993	 0.13133	 0.89529	16.95959	-1346.098536	-1401883.003546	-55784.467844
59	 1.32266	 1.49219	 2.13699	 2.90658	 2.19344	 2.26395	 2.62982	 0.07993	 0.12223	 0.89529	17.49641	-1346.148231	-1401918.443689	-55770.212498
60	 1.30510	 1.53149	 2.08220	 2.91896	 2.09770	 2.33890	 2.69356	 0.08028	 0.12275	 0.89910	17.10711	-1346.139097	-1401916.771851	-55777.675180
61	 1.23445	 1.57322	 2.08015	 3.09995	 2.15783	 2.37454	 2.80800	 0.08020	 0.12263	 0.89822	17.52991	-1346.246957	-1401930.364327	-55683.407036
62	 1.23651	 1.57585	 2.03575	 3.10512	 2.08696	 2.42926	 2.92752	 0.08033	 0.11824	 0.89972	17.95171	-1346.495585	-1401915.498303	-55419.913767
63	 1.22212	 1.58223	 2.12624	 3.27315	 2.09541	 2.43910	 2.93938	 0.07887	 0.11872	 0.90336	17.36739	-1346.639910	-1401881.251271	-55241.341098
64	 1.26600	 1.49135	 2.23379	 3.27315	 1.96824	 2.53452	 2.93938	 0.07887	 0.11872	 0.93551	17.71646	-1346.890333	-1401886.017299	-54995.684747
65	 1.29749	 1.44500	 2.14910	 3.27315	 1.86698	 2.53452	 2.93938	 0.07887	 0.11872	 0.96029	18.04066	-1346.833623	-1401851.520965	-55017.897530
66	 1.22820	 1.35348	 2.06617	 3.26945	 1.86487	 2.53165	 3.06419	 0.07878	 0.11859	 0.97460	17.65140	-1346.773822	-1401880.083847	-55106.261356
67	 1.19162	 1.29317	 2.10415	 3.38250	 1.75764	 2.53995	 3.07424	 0.07904	 0.11898	 0.97780	17.32371	-1346.745669	-1401906.941852	-55161.272916
68	 1.16157	 1.35511	 2.26263	 3.54699	 1.69611	 2.68429	 3.08698	 0.07937	 0.11654	 1.01951	17.05509	-1347.155001	-1401883.459374	-54728.458187
69	 1.23170	 1.41722	 2.33789	 3.61055	 1.63320	 2.78374	 3.08698	 0.07937	 0.11654	 1.01951	16.59520	-1347.064102	-1401937.219923	-54873.117723
70	 1.25709	 1.36072	 2.28452	 3.77390	 1.64923	 2.90960	 3.23695	 0.07937	 0.11654	 1.01951	17.05294	-1347.082401	-1401921.484994	-54839.083795
71	 1.20315	 1.32639	 2.37103	 3.78174	 1.71850	 2.91564	 3.35536	 0.07619	 0.11678	 1.04135	16.82543	-1347.436751	-1401867.162755	-54430.411955
72	 1.20559	 1.28845	 2.37584	 3.92963	 1.66425	 2.92155	 3.36216	 0.07635	 0.11701	 1.04346	16.29987	-1347.326728	-1401869.053423	-54542.325693
73	 1.20559	 1.35859	 2.46963	 3.92963	 1.59039	 3.04997	 3.45833	 0.08182	 0.11701	 1.04346	16.64080	-1347.525959	-1401811.472870	-54285.514287
74	 1.16045	 1.44356	 2.39809	 3.92963	 1.64970	 3.04997	 3.45833	 0.08182	 0.11701	 1.04346	16.79320	-1347.586173	-1401858.172319	-54271.999024
75	 1.19336	 1.38969	 2.29596	 3.92189	 1.64645	 3.04396	 3.45152	 0.08166	 0.11386	 1.07166	16.49984	-1347.825837	-1401856.417435	-54030.580133
76	 1.19685	 1.31861	 2.22560	 3.93336	 1.58504	 3.05287	 3.46162	 0.08190	 0.11419	 1.07479	16.29427	-1347.761234	-1401864.740412	-54103.506769
77	 1.19854	 1.34412	 2.22874	 4.02997	 1.61584	 3.16692	 3.57344	 0.08202	 0.11435	 1.07631	16.56485	-1347.774263	-1401839.852976	-54065.589760
78	 1.13573	 1.38337	 2.22874	 3.97561	 1.57729	 3.16692	 3.66680	 0.08202	 0.11435	 1.05529	16.26554	-1347.768232	-1401847.591773	-54079.360011
79	 1.09336	 1.31055	 2.34259	 4.20161	 1.58081	 3.17398	 3.67498	 0.08220	 0.11461	 1.05764	16.51844	-1347.933867	-1401804.876467	-53871.009195
80	 1.09659	 1.25377	 2.34950	 4.09553	 1.53390	 3.18334	 3.68582	 0.08537	 0.12354	 1.04117	16.20912	-1347.904840	-1401787.725493	-53882.885965
81	 1.09659	 1.27479	 2.21377	 4.27841	 1.61578	 3.18334	 3.81810	 0.08537	 0.12354	 1.04117	16.03206	-1347.814417	-1401786.988719	-53972.571661
82	 1.07588	 1.29375	 2.14385	 4.26627	 1.68466	 3.17431	 3.80727	 0.09130	 0.12709	 1.03821	16.22832	-1347.985593	-1401815.356751	-53829.763982
83	 1.07987	 1.22802	 2.06951	 4.41009	 1.75140	 3.18611	 3.91175	 0.09164	 0.12757	 1.04207	16.37772	-1347.812889	-1401794.472736	-53981.583655
84	 1.02875	 1.20288	 2.07601	 4.72480	 1.68492	 3.30903	 4.11464	 0.09193	 0.12797	 1.06061	16.80492	-1348.294522	-1401865.099005	-53570.576922
85	 0.99924	 1.26210	 2.07518	 4.87956	 1.75454	 3.30770	 4.11298	 0.09190	 0.12791	 1.06018	16.59738	-1348.244548	-1401805.041462	-53560.493266
86	 0.94167	 1.30042	 1.98414	 5.09632	 1.73237	 3.39267	 4.11298	 0.09190	 0.12791	 1.06018	16.28929	-1348.187061	-1401760.997298	-53573.936424
87	 0.97880	 1.30467	 2.04939	 5.11299	 1.79877	 3.40376	 4.12644	 0.09220	 0.12833	 1.06365	16.72056	-1348.488048	-1401813.835483	-53325.787254
88	 0.97776	 1.24232	 2.13111	 5.36583	 1.90350	 3.40015	 4.12205	 0.09210	 0.12820	 1.04967	17.11379	-1348.411668	-1401840.792170	-53429.124007
89	 1.03072	 1.30430	 2.24929	 5.38321	 1.96974	 3.51329	 4.26031	 0.09240	 0.12861	 1.07889	17.30954	-1348.665882	-1401823.291149	-53157.408699
90	 1.02799	 1.26485	 2.32075	 5.36898	 1.96453	 3.50400	 4.24904	 0.09215	 0.12827	 1.07604	17.14041	-1348.643685	-1401823.300372	-53179.615402
91	 1.06152	 1.22751	 2.39236	 5.72021	 1.96772	 3.46670	 4.25595	 0.09230	 0.12559	 1.03523	16.99060	-1348.475832	-1401817.114722	-53341.283098
92	 1.04881	 1.19427	 2.29343	 5.89966	 1.97342	 3.47675	 4.26828	 0.09257	 0.12596	 1.03823	17.27901	-1348.687472	-1401817.968767	-53130.496779
93	 1.01331	 1.19820	 2.23225	 6.14022	 2.03114	 3.48817	 4.28230	 0.09287	 0.12637	 1.05967	17.41737	-1348.808527	-1401808.145121	-52999.617782
94	 1.00940	 1.22323	 2.16190	 5.86325	 2.09112	 3.47473	 4.26580	 0.09252	 0.12588	 1.05558	17.07895	-1348.605422	-1401794.282220	-53188.860028
95	 1.04823	 1.17688	 2.26074	 5.88350	 2.15823	 3.27145	 4.25195	 0.09283	 0.12003	 1.05923	16.57650	-1348.570566	-1401803.563127	-53232.997598
96	 0.99727	 1.13457	 2.36159	 5.86686	 2.23406	 3.26220	 4.36796	 0.09257	 0.12399	 1.05623	16.99539	-1348.529125	-1401731.888872	-53202.764115
97	 1.04258	 1.18287	 2.26059	 5.84398	 2.14859	 3.32280	 4.35093	 0.09221	 0.12733	 1.05211	17.36646	-1348.465561	-1401788.058867	-53322.498000
98	 1.08265	 1.24933	 2.26620	 6.05390	 2.06782	 3.33104	 4.43334	 0.09244	 0.12765	 1.05472	17.02731	-1348.551096	-1401835.437952	-53284.341990
99	 1.04582	 1.19878	 2.20014	 5.84395	 2.07547	 3.34336	 4.44973	 0.09278	 0.12812	 1.03999	17.22037	-1348.511543	-1401820.000501	-53308.457535
100	 1.04281	 1.19533	 2.19380	 5.82713	 2.16814	 3.33374	 4.43692	 0.08385	 0.12775	 1.03700	17.09502	-1348.517157	-1401814.384528	-53297.227509
101	 0.97986	 1.14747	 2.11707	 5.99684	 2.25090	 3.22110	 4.42338	 0.07442	 0.12736	 1.03383	16.79436	-1348.455980	-1401773.096062	-53317.116240
102	 0.94849	 1.20346	 2.23032	 6.22883	 2.33745	 3.23456	 4.29759	 0.07473	 0.12789	 1.03816	17.20830	-1348.338495	-1401774.451061	-53435.956008
103	 1.00095	 1.15355	 2.22303	 6.37251	 2.26907	 3.22399	 4.37339	 0.07448	 0.12747	 1.02962	17.50106	-1348.392502	-1401792.105966	-53399.603651
104	 1.02767	 1.20865	 2.18835	 6.11915	 2.34674	 3.21873	 4.36625	 0.07436	 0.12251	 1.04614	17.19607	-1348.524890	-1401786.559132	-53261.669586
105	 1.02508	 1.26132	 2.18285	 5.91219	 2.29415	 3.21063	 4.35527	 0.06853	 0.12220	 1.03569	17.40015	-1348.487407	-1401831.018568	-53343.611104
106	 0.98549	 1.30344	 2.07522	 5.90061	 2.38123	 3.32301	 4.34674	 0.06839	 0.12196	 1.03367	17.06558	-1348.485847	-1401815.823993	-53329.977381
107	 0.95225	 1.36241	 2.11838	 5.91709	 2.46029	 3.33229	 4.35888	 0.06858	 0.12230	 1.03655	16.74838	-1348.755514	-1401838.330765	-53082.816398
108	 0.94998	 1.44051	 2.20805	 6.15520	 2.37135	 3.32436	 4.45922	 0.06842	 0.12090	 1.05132	16.39194	-1348.799940	-1401815.458357	-53015.518114
109	 0.99735	 1.51017	 2.16283	 6.55596	 2.36603	 3.31690	 4.44921	 0.06827	 0.11455	 1.02659	16.07490	-1348.668554	-1401845.915012	-53177.361249
110	 0.94756	 1.44830	 2.17027	 6.57854	 2.24817	 3.32832	 4.46453	 0.07519	 0.11494	 1.03013	15.73602	-1348.641597	-1401804.669504	-53163.072730
111	 0.98442	 1.51748	 2.18076	 6.59649	 2.12942	 3.33740	 4.47671	 0.07539	 0.11590	 1.03294	15.56334	-1348.759922	-1401766.576908	-53006.655393
112	 0.95325	 1.57256	 2.25639	 6.39517	 2.07198	 3.18701	 4.46369	 0.07517	 0.11557	 1.02993	16.06313	-1348.659331	-1401786.937509	-53127.606171
113	 0.95637	 1.62123	 2.32756	 6.41608	 2.13851	 3.19743	 4.47828	 0.07542	 0.11595	 1.03330	15.34699	-1348.533781	-1401827.048480	-53293.267227
114	 0.92861	 1.70082	 2.41655	 6.67442	 2.09272	 3.21013	 4.49607	 0.07572	 0.12564	 1.03740	15.59031	-1348.660209	-1401837.268796	-53177.059982
115	 0.92513	 1.78283	 2.40751	 6.64944	 2.08488	 3.19812	 4.44053	 0.08159	 0.12231	 1.03352	16.03122	-1348.638871	-1401812.248237	-53173.377632
116	 0.94969	 1.73049	 2.29826	 6.36748	 1.99610	 3.18454	 4.42168	 0.08124	 0.12180	 1.02913	15.87536	-1348.527802	-1401796.756534	-53268.954142
117	 0.90924	 1.65106	 2.19287	 6.62269	 2.04067	 3.19136	 4.43115	 0.07900	 0.12206	 1.03134	15.47598	-1348.561828	-1401754.686269	-53192.858051
118	 0.87951	 1.60612	 2.23984	 6.75602	 2.14727	 3.17728	 4.41159	 0.07865	 0.12152	 1.01102	15.10051	-1348.339255	-1401771.976531	-53432.721879
119	 0.91450	 1.65873	 2.06805	 6.53182	 2.05054	 3.16470	 4.39413	 0.07834	 0.12104	 1.00701	15.41447	-1348.436298	-1401826.468086	-53390.169718
120	 0.91895	 1.66680	 2.07811	 6.86051	 2.13043	 3.18009	 4.41550	 0.07872	 0.12163	 1.01191	15.04563	-1348.507227	-1401802.175517	-53294.948097
121	 0.91590	 1.58932	 1.99742	 7.13191	 2.01450	 3.16954	 4.67672	 0.07941	 0.11561	 1.02997	15.30302	-1348.562504	-1401839.837776	-53277.334080
122	 0.91196	 1.63563	 2.05998	 7.46751	 1.95371	 3.15588	 4.65656	 0.07907	 0.11511	 1.02553	15.21306	-1348.548866	-1401835.085565	-53286.219951
123	 0.91196	 1.68415	 2.05998	 7.19978	 1.88027	 3.15588	 4.82090	 0.07907	 0.12007	 1.02553	15.56432	-1348.725574	-1401835.366723	-53109.792696
124	 0.88055	 1.69004	 2.11169	 7.15059	 1.85331	 3.03241	 4.83776	 0.07935	 0.11398	 1.02912	15.23432	-1348.501744	-1401768.483666	-53266.739501
125	 0.88359	 1.65619	 2.02658	 7.53971	 1.75724	 3.04286	 4.71020	 0.07962	 0.11438	 1.03266	15.52885	-1348.486941	-1401764.315052	-53277.374189
126	 0.82832	 1.57952	 2.04952	 7.76572	 1.83991	 3.03756	 4.70201	 0.07948	 0.11418	 1.03087	15.24809	-1348.499419	-1401774.266297	-53274.846839
127	 0.82542	 1.53172	 2.11956	 7.97671	 1.78180	 3.02695	 4.68558	 0.07920	 0.11378	 1.02726	15.08947	-1348.423618	-1401804.007288	-53380.389112
128	 0.86054	 1.56686	 2.25613	 8.31140	 1.74604	 3.03584	 4.69935	 0.07944	 0.11411	 1.03028	15.31312	-1348.444053	-1401776.070905	-53332.017498
129	 0.80784	 1.52593	 2.36148	 7.80948	 1.81765	 3.15090	 4.69165	 0.07193	 0.11392	 1.02860	14.96355	-1348.549745	-1401801.668656	-53251.923911
130	 0.77500	 1.59595	 2.42691	 7.92674	 1.86528	 3.15432	 4.69675	 0.06839	 0.11405	 1.02971	14.94734	-1348.711996	-1401815.544460	-53103.548810
131	 0.74241	 1.61735	 2.34046	 7.43620	 1.93542	 3.14163	 4.67785	 0.06811	 0.11359	 1.02557	15.16700	-1348.509048	-1401763.899309	-53254.851060
132	 0.76051	 1.66969	 2.46070	 7.84560	 1.93244	 3.13679	 4.46477	 0.06801	 0.11341	 1.02399	14.84869	-1348.507600	-1401720.555153	-53212.954989
133	 0.74552	 1.59522	 2.50513	 8.13135	 1.87026	 3.14447	 4.58247	 0.06817	 0.11369	 1.05396	14.94344	-1348.617973	-1401760.265382	-53142.292848
134	 0.78256	 1.53665	 2.63841	 8.58314	 1.94876	 3.23637	 4.59453	 0.06835	 0.11399	 1.05673	14.73090	-1348.602145	-1401763.775907	-53161.630995
135	 0.80679	 1.53890	 2.54005	 8.86404	 2.04659	 3.24112	 4.60126	 0.06845	 0.11416	 1.05828	15.01539	-1348.691862	-1401758.727955	-53066.865679
136	 0.80445	 1.57440	 2.45525	 9.23831	 1.97241	 3.23169	 4.69711	 0.06825	 0.10599	 1.03477	15.20390	-1348.679322	-1401769.364759	-53090.043059
137	 0.78909	 1.53120	 2.46193	 8.95858	 1.89800	 3.24048	 4.70988	 0.06844	 0.10628	 1.02666	15.50908	-1348.605473	-1401716.690307	-53111.217006
138	 0.74957	 1.58658	 2.40979	 8.95188	 1.94466	 3.30305	 4.57805	 0.06839	 0.10620	 1.00563	15.73997	-1348.572795	-1401799.278654	-53226.483860
139	 0.74717	 1.55406	 2.47943	 8.92323	 1.84184	 3.29248	 4.56340	 0.06817	 0.09961	 0.98384	15.31376	-1348.557498	-1401808.569417	-53251.071176
140	 0.71785	 1.53260	 2.48603	 9.02393	 1.72214	 3.30125	 4.57555	 0.07188	 0.09988	 0.97778	15.03701	-1348.649492	-1401782.173272	-53132.680931
141	 0.69450	 1.48530	 2.53389	 8.84062	 1.65233	 3.15219	 4.55999	 0.07164	 0.09954	 0.97446	15.10428	-1348.565649	-1401721.365861	-53155.717165
142	 0.69682	 1.54312	 2.64200	 8.42253	 1.76446	 3.20422	 4.47380	 0.07187	 0.09987	 0.97772	14.69327	-1348.554225	-1401740.513223	-53186.287895
143	 0.65949	 1.61158	 2.63059	 8.38617	 1.75684	 3.05174	 4.45449	 0.07156	 0.09944	 0.97350	14.36413	-1348.457366	-1401794.527326	-53337.161090
144	 0.65678	 1.55731	 2.61980	 8.70518	 1.82724	 3.03922	 4.43621	 0.07127	 0.09903	 0.96950	14.30462	-1348.478994	-1401771.839430	-53292.845308
145	 0.62273	 1.51319	 2.74600	 8.73155	 1.93989	 3.04842	 4.44965	 0.07149	 0.09933	 0.97244	14.53147	-1348.309212	-1401739.670522	-53430.458848
146	 0.63790	 1.43508	 2.90038	 8.63087	 2.07977	 3.12562	 4.63353	 0.07177	 0.09715	 0.97634	14.18769	-1348.394563	-1401759.423346	-53364.860542
147	 0.64764	 1.49726	 2.84766	 8.52814	 2.14781	 3.13712	 4.65058	 0.07204	 0.09750	 0.97993	14.52104	-1348.533362	-1401799.232395	-53265.870532
148	 0.66853	 1.40729	 2.83819	 8.91596	 2.04641	 3.12668	 4.52983	 0.07180	 0.09718	 0.97667	15.03188	-1348.466412	-1401752.266626	-53285.854742
149	 0.64711	 1.40139	 2.68781	 8.54686	 2.12101	 3.11356	 4.51082	 0.07150	 0.09677	 0.97257	15.34124	-1348.496660	-1401763.156229	-53266.495964
150	 0.67292	 1.47992	 2.78140	 8.57023	 2.04628	 3.12207	 4.52315	 0.07169	 0.09704	 0.97523	15.31320	-1348.296922	-1401709.330352	-53412.408528
151	 0.65631	 1.42374	 2.68473	 8.59719	 2.02457	 3.13189	 4.53738	 0.07192	 0.09734	 0.97830	15.07939	-1348.454810	-1401787.282660	-53332.473150
152	 0.68082	 1.47150	 2.76047	 8.90165	 1.89083	 3.12116	 4.52184	 0.07167	 0.09701	 0.97495	15.44417	-1348.403462	-1401799.313306	-53395.851526
153	 0.69752	 1.47752	 2.85600	 9.13435	 1.96383	 3.13394	 4.54035	 0.07196	 0.09740	 0.97196	15.64949	-1348.465679	-1401772.289577	-53306.611060
154	 0.69908	 1.48082	 2.78557	 9.38916	 2.05659	 3.14094	 4.55049	 0.07213	 0.09312	 0.98658	15.46494	-1348.420489	-1401775.334075	-53354.845092
155	 0.72172	 1.47892	 2.78198	 9.16213	 2.18656	 3.13690	 4.63893	 0.07203	 0.09300	 0.98530	15.05237	-1348.597923	-1401830.488707	-53232.565377
