iter	coalStat	numCoal	migStat	numMig	logPrior	logGenLikelihood	logDataLikelihood	numCoal_A:1	deltaT_A:1	numCoal_B:1	deltaT_B:1	numCoal_C:1	deltaT_C:1	numCoal_D:1	deltaT_D:1	numCoal_AB:1	deltaT_AB:1	numCoal_ABC:1	deltaT_ABC:1	numCoal_root:1	deltaT_root:1
34	2.706526	7000	0.845231	2	69.252108	-1344784.526	-1402059.875	101	0.012518	97	0.012561	170	0.022049	387	0.119445	451	0.052251	2882	0.565914	2912	0.686829
35	2.776194	7000	0.857778	1	68.918639	-1344988.896	-1402034.591	99	0.012524	95	0.012542	158	0.022194	366	0.122253	480	0.051872	2818	0.57946	2984	0.722353
36	2.782168	7000	0.851778	4	68.668116	-1344968.09	-1402031.741	99	0.012549	99	0.012575	154	0.022444	369	0.121994	468	0.052347	2792	0.594708	3019	0.703022
37	2.818809	7000	0.863115	2	68.355963	-1345091.158	-1402021.091	107	0.012549	82	0.012682	160	0.022336	342	0.123811	460	0.052728	2793	0.59363	3056	0.730708
38	2.847724	7000	0.875557	4	68.209473	-1345208.779	-1402048.293	105	0.012572	101	0.012584	160	0.022256	323	0.126134	458	0.052451	2766	0.591988	3087	0.756318
39	2.931538	7000	0.898854	4	67.937056	-1345391.345	-1402030.319	97	0.012625	95	0.012587	161	0.022387	336	0.129065	432	0.053367	2785	0.635631	3094	0.750437
40	2.952323	7000	0.910319	3	67.955492	-1345432.693	-1402014.552	111	0.012537	103	0.012643	157	0.022562	308	0.130512	415	0.052871	2798	0.630577	3108	0.770391
41	2.944685	7000	0.906975	2	68.005281	-1345408.152	-1401997.511	108	0.012672	96	0.012737	160	0.0226	329	0.130261	437	0.053084	2828	0.622807	3042	0.775592
42	2.999338	7000	0.926429	2	67.906656	-1345603.556	-1402005.359	109	0.012712	99	0.012648	149	0.022758	321	0.131559	407	0.053786	2828	0.637052	3087	0.796705
43	3.051796	7000	0.951764	1	67.55514	-1345584.866	-1401985.023	105	0.014366	114	0.014269	165	0.022692	304	0.138675	395	0.045252	2864	0.643284	3053	0.803285
44	3.13168	7000	0.974818	4	67.317093	-1345745.114	-1401921.756	117	0.014417	113	0.014372	158	0.022806	330	0.141224	340	0.045543	2949	0.677063	2993	0.814618
45	3.10979	7000	0.970313	3	66.950539	-1345683.877	-1401950.662	112	0.014427	103	0.0146	168	0.022715	314	0.142316	341	0.046416	2980	0.657921	2982	0.815556
46	3.165282	7000	0.979268	5	66.672276	-1345856.32	-1401966.72	120	0.014452	100	0.014615	144	0.0231	322	0.141875	363	0.04597	2925	0.681491	3026	0.831314
47	3.173666	7000	1.004273	6	66.667727	-1345881.064	-1401937.248	110	0.014502	107	0.014465	174	0.022749	327	0.142012	334	0.04639	2975	0.662929	2973	0.871103
48	3.229416	7000	1.024099	4	66.509772	-1346009.118	-1401932.655	119	0.014444	114	0.014399	170	0.022684	324	0.145518	326	0.04613	2954	0.685028	2993	0.875211
49	3.271613	7000	1.041567	3	66.315093	-1346080.349	-1401924.605	130	0.014371	109	0.014539	159	0.023051	332	0.147629	308	0.047462	3058	0.692089	2904	0.885832
